"sitecode","nazev_predmetu","feature_code","rozloha_ha","rozloha_procent","stav_text","source_file"
"CZ0314124","Níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis","3260",108.2021,0.49,"Zachovat stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","Panonské skalní trávníky (Stipo-Festucetalia pallentis)","6190",1.6802,0.01,"Zachovat stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","Polopøirozené suché trávníky a facie køovin na vápnitıch podloích","6210",4.4426,0.02,"Zachovat stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","Polopøirozené suché trávníky a facie køovin na vápnitıch podloích","6210",22.6761,0.1,"Zachovat stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","Bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách","6410",72.8836,0.33,"V druhovì bohatıch porostech je cílem zachovat jejich stav z doby vyhlášení EVL. V degradovanıch partiích
bezkolencovıch luk je tøeba managementovımi opatøeními jejich souèasnı stav zlepšit alespoò na úroveò
v dobì vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124",NA,"6510",425.0949,1.91,"Zachovat dobrı stav druhovì bohatıch luk z doby vyhlášení EVL. U porostù negativnì ovlivnìnıch pøíliš
intenzivním zemìdìlskım hospodaøením a porostù degradovanıch vlivem dlouhodobé absence hospodaøení je
cílem jejich stav zlepšit alespoò na úroveò v dobì vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","Chasmofytická vegetace silikátovıch skalnatıch svahù","8220",6.6108,0.03,"Zachovat stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","Lesostepní bory","91",22.4125,0.1,"Souèasné mapování neodpovídá reálnému vıskytu lesostepních borù. Jako pøedmìt ochrany L8.2 –
Lesostepní bory byly klasifikovány pøedevším porosty nacházející se na území mezi Èeskım Krumlovem,
Køenovem a úpatím hory Kle. Dnes je vìtšina porostù cennıch borù na vápencích i pøes dominanci borovice
pøeklasifikována na biotop L6.4.
Cílem je zachovat charakter prosvìtlenıch porostù s pøevahou borovice a pøimíšenımi dalšími døevinami,
s charakteristickım bylinnım patrem. Moné a vhodné je i vytváøení porostních skupin s pøevahou dubu – èást
území, mapovaného jako lesostepní bory, byla takto vymapována v dùsledku druhotné dominance borovice,
a pøirozenou dominantní slokou ekosystému zde mùe bıt i jiná døevina (obvykle dub, ale v nìkterıch
pøípadech i buk). Podstatnım faktorem pøíznivého stavu pøedmìtu ochrany je však pøedevším zachování
charakteru prosvìtlenıch lesù, a u s dominancí borovice nebo dubu.","sdo_2632_2017_0000.pdf"
"CZ0314124","Buèiny asociace Luzulo-Fagetum","9110",1673.0257,7.53,"Zachovat stav pøírodì blízkıch porostù z doby vyhlášení EVL. Vhodnımi pìstebními opatøeními postupnì
zlepšovat stav hospodáøsky ovlivnìnıch porostù s pozmìnìnou druhovou skladbou a zjednodušenou
prostorovou strukturou oproti stavu pøi vyhlášení.","sdo_2632_2017_0000.pdf"
"CZ0314124","Buèiny asociace Asperulo-Fagetum","9130",1447.2975,6.52,"Zachovat stav pøírodì blízkıch porostù z doby vyhlášení EVL. Vhodnımi pìstebními opatøeními postupnì
zlepšovat stav hospodáøsky ovlivnìnıch porostù s pozmìnìnou druhovou skladbou a zjednodušenou
prostorovou strukturou oproti stavu pøi vyhlášení.","sdo_2632_2017_0000.pdf"
"CZ0314124","Dubohabøiny asociace Galio-Carpinetum","9170",105.3312,0.47,"Zachovat stav pøírodì blízkıch porostù z doby vyhlášení EVL. Vhodnımi pìstebními opatøeními postupnì
zlepšovat stav hospodáøsky ovlivnìnıch porostù s pozmìnìnou druhovou skladbou a zjednodušenou
prostorovou strukturou oproti stavu pøi vyhlášení.","sdo_2632_2017_0000.pdf"
"CZ0314124","Lesy svazu Tilio-Acerion na svazích, sutích a v roklích","9180",128.9338,0.58,"Zachovat stav pøírodì blízkıch porostù z doby vyhlášení EVL. Vhodnımi pìstebními opatøeními postupnì
zlepšovat stav hospodáøsky ovlivnìnıch porostù s pozmìnìnou druhovou skladbou a zjednodušenou
prostorovou strukturou oproti stavu pøi vyhlášení.
* oznaèuje prioritní stanovištì","sdo_2632_2017_0000.pdf"
"CZ0724089","Alpínské øeky a bylinná vegetace podél jejich bøehù","3220",0.003,0,"Zachovat rozlohu stanovištì a zlepšit jeho stav. Stav pøedmìtu ochrany pøi zaøazení EVL do Evropského
seznamu byl chybnì uveden a neodpovídá skuteènosti pøi vyhlášení. Skuteènı stav pøi vyhlášení byl
„vıznamná hodnota“ a tento stav je tøeba zlepšit. Cílovı stav stanovištì je pøedstavován štìrkovımi náplavy
s druhovì chudou vegetací iniciálních stadií bylinné vegetace (napø. s druhy Epilobium dodonaei nebo
Equisetum variegatum) a vegetace s tøtinou pobøení. S vhodnımi hydrogeomorfologickımi vlastnostmi toku.
Bez pøítomnosti invazních a expanzivních druhù. V souèasné dobì je stanovištì degradováno pøedevším
nevhodnımi vodohospodáøskımi úpravami.","SDO_3313_2021_0000.pdf"
