"sitecode","nazev_cz","nazev_lat","feature_code","pop_typ","pop_min","pop_max","pop_jednotka","zachovalost","izolace","celkove","stav_text","source_file","druh_cz","druh","poznamka","pop_prum"
"CZ0213086","èolek velký","Triturus cristatus","1166","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Udržet stav pøedmìtu ochrany minimálnì na úrovni v dobì vyhlášení EVL.","Aglaia.pdf","èolek velký","Triturus cristatus","Udržet stav pøedmìtu ochrany minimálnì na úrovni v dobì vyhlášení EVL.",NA
"CZ0713723","vrápenec malý","Rhinolophus hipposideros","1303","rozmnožující se",20,130,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Cílem je pomocí managementových opatøení a ochrany lokality zajistit pøedmìt ochrany ve stavu minimálnì
jako v dobì vyhlašování EVL.","ÄŒechy pod KosÃ­Å™em SDO 2012.pdf","vrápenec malý","Rhinolophus hipposideros","Cílem je pomocí managementových opatøení a ochrany lokality zajistit pøedmìt ochrany ve stavu minimálnìjako v dobì vyhlašování EVL.",75
"CZ0313097","èolek velký","Triturus cristatus","1166","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Udržet stav populace èolka velkého na stejné úrovni jako pøi vyhlášení EVL, populaci podporovat i na novì
vznikajících a managementem udržovaných mikrolokalitách v rámci hranic EVL.","ÄŒepskÃ¡ pÃ­skovna.pdf","èolek velký","Triturus cristatus","Udržet stav populace èolka velkého na stejné úrovni jako pøi vyhlášení EVL, populaci podporovat i na novìvznikajících a managementem udržovaných mikrolokalitách v rámci hranic EVL.",NA
"CZ0723007","hoøavka duhová Rhodeus","sericeus amarus","1134","stálá",101,500,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota",NA,"ÄŒerÅ¥Ã¡k SDO 2013.pdf","hoøavka duhová Rhodeus","sericeus amarus",NA,300.5
"CZ0713724","vrápenec malý","Rhinolophus hipposideros","1303","rozmnožující se",13,50,"jedinci","prùmìrné nebo omezené zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Zachování existence letní kolonie vrápence malého (Rhinolophus hipposideros) v poèetnosti minimálnì jako
v dobì vyhlášení.","ÄŒernÃ¡ Voda - kostel SDO 2013.pdf","vrápenec malý","Rhinolophus hipposideros","Zachování existence letní kolonie vrápence malého (Rhinolophus hipposideros) v poèetnosti minimálnì jakov dobì vyhlášení.",31.5
"CZ0713725","netopýr brvitý","Myotis emarginatus","1321","rozmnožující se",500,710,"jedinci","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Cílem je udržení stavu populace netopýra brvitého minimálnì na úrovni v dobì vyhlášení EVL zajištìním
vhodných podmínek na lokalitì.","ÄŒernÃ¡ Voda - kulturnÃ­ dÅ¯m SDO 2013.pdf","netopýr brvitý","Myotis emarginatus","Cílem je udržení stavu populace netopýra brvitého minimálnì na úrovni v dobì vyhlášení EVL zajištìnímvhodných podmínek na lokalitì.",605
"CZ0813760","netopýr èerný","Barbastella barbastellus","1308",NA,NA,NA,NA,"vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Udržení stavu populace na úrovni v dobì pøi vyhlášení.","ÄŒernÃ½ dÅ¯l SDO 2013.pdf","netopýr èerný","Barbastella barbastellus","Udržení stavu populace na úrovni v dobì pøi vyhlášení.",NA
"CZ0423656","netopýr velký","Myotis myotis","1324","rozmnožující se",430,430,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zlepšit stav populace netopýra velkého oproti stavu pøi vyhlášení.","ÃšÅ¡tÄ›k - kostel SDO 2013.pdf","netopýr velký","Myotis myotis","Zlepšit stav populace netopýra velkého oproti stavu pøi vyhlášení.",430
"CZ0533684","vrápenec malý","Rhinolophus hipposideros","1303",NA,NA,NA,NA,"vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Stabilní zimující populace, minimálnì 100 jedincù každou zimu.","BÄ›stvina krypta SDO 2013.pdf","vrápenec malý","Rhinolophus hipposideros","Stabilní zimující populace, minimálnì 100 jedincù každou zimu.",NA
"CZ0713720","netopýr velký","Myotis myotis","1324","rozmnožující se",320,350,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Cílem je zachování letní kolonie netopýrù velkých v poèetnosti alespoò jako v dobì vyhlášení EVL.","BÃ­lÃ¡ _lhota.pdf","netopýr velký","Myotis myotis","Cílem je zachování letní kolonie netopýrù velkých v poèetnosti alespoò jako v dobì vyhlášení EVL.",335
