"sitecode","feature_code","rozloha_ha","rozloha_procent","stav_text","source_file","poznamka","stav_cis"
"CZ0424030",8220,8.1892,0.69,"Zachovat souèasnou rozlohu a stav stanovištì dle stavu pøi vyhlášení EVL.","bezrucovo udoli.pdf","Zachovat souèasnou rozlohu a stav stanovištì dle stavu pøi vyhlášení EVL.",NA
"CZ0424030",91,29.9787,2.51,"Zachovat rozlohu, zachovat stav stanovištì jako pøi vyhlášení (u pøírodì blízkıch porostù), a místy zlepšit stav
stanovištì oproti stavu pøi vyhlášení EVL (úpravou skladby porostù ve prospìch pøirozené druhové skladby).","bezrucovo udoli.pdf","Zachovat rozlohu, zachovat stav stanovištì jako pøi vyhlášení (u pøírodì blízkıch porostù), a místy zlepšit stavstanovištì oproti stavu pøi vyhlášení EVL (úpravou skladby porostù ve prospìch pøirozené druhové skladby).",NA
"CZ0424030",9110,565.5885,47.33,"Zachovat rozlohu a zlepšit druhovou skladbu stanovištì oproti stavu pøi vyhlášení EVL.","bezrucovo udoli.pdf","Zachovat rozlohu a zlepšit druhovou skladbu stanovištì oproti stavu pøi vyhlášení EVL.",NA
"CZ0424030",9130,74.3349,6.22,"Zachovat rozlohu a zlepšit druhovou skladbu stanovištì oproti stavu pøi vyhlášení EVL.","bezrucovo udoli.pdf","Zachovat rozlohu a zlepšit druhovou skladbu stanovištì oproti stavu pøi vyhlášení EVL.",NA
"CZ0424030",9180,33.729,2.82,"Zachovat rozlohu a zlepšit druhovou skladbu stanovištì oproti stavu pøi vyhlášení EVL.
* oznaèuje prioritní stanovištì","bezrucovo udoli.pdf","Zachovat rozlohu a zlepšit druhovou skladbu stanovištì oproti stavu pøi vyhlášení EVL.* oznaèuje prioritní stanovištì",NA
"CZ0314021",6410,116.1814,18.19,"V druhovì bohatıch porostech je cílem zachovat jejich stav z doby vyhlášení EVL. V degradovanıch partiích
bezkolencovıch luk je tøeba managementovımi opatøeními jejich souèasnı stav zlepšit.","Borkovicka blata.pdf","V druhovì bohatıch porostech je cílem zachovat jejich stav z doby vyhlášení EVL. V degradovanıch partiíchbezkolencovıch luk je tøeba managementovımi opatøeními jejich souèasnı stav zlepšit.",NA
"CZ0314021",7140,26.0264,4.07,"Cílem je zachovat stav druhovì pestrıch ostøicovorašeliníkovıch a suchopırovıch spoleèenstev regenerujících
v opuštìnıch plochách po tìbì rašeliny z doby vyhlášení EVL, stav degradovanıch èástí tìchto porostù je
tøeba managementovımi opatøeními zlepšit, aby nedošlo k jejich zániku.","Borkovicka blata.pdf","Cílem je zachovat stav druhovì pestrıch ostøicovorašeliníkovıch a suchopırovıch spoleèenstev regenerujícíchv opuštìnıch plochách po tìbì rašeliny z doby vyhlášení EVL, stav degradovanıch èástí tìchto porostù jetøeba managementovımi opatøeními zlepšit, aby nedošlo k jejich zániku.",NA
"CZ0314021",91,106.1391,16.62,"Cílem je zachovat stav rašelinnıch brusnicovıch borù (vèetnì jejich sukcesních stádií) z doby vyhlášení EVL.
Stav degradovanıch porostù blatkového boru je tøeba managementovımi opatøeními zlepšit.","Borkovicka blata.pdf","Cílem je zachovat stav rašelinnıch brusnicovıch borù (vèetnì jejich sukcesních stádií) z doby vyhlášení EVL.Stav degradovanıch porostù blatkového boru je tøeba managementovımi opatøeními zlepšit.",NA
"CZ0314021",91,16.18,2.53,"Cílem je zachovat stav porostù lišejníkového boru na pøirozenıch borovıch stanovištích SLT 0M z doby
vyhlášení EVL.
* oznaèuje prioritní stanovištì




                                                    6","Borkovicka blata.pdf","Cílem je zachovat stav porostù lišejníkového boru na pøirozenıch borovıch stanovištích SLT 0M z dobyvyhlášení EVL.* oznaèuje prioritní stanovištì 6",NA
"CZ0624094",9170,35.2684,73.33,"Udret stav pøi vyhlášení.","Bosonozsky hajek.pdf","Udret stav pøi vyhlášení.",NA
"CZ0624094",9170,35.2684,73.33,"Udret stav pøi vyhlášení.","Bosonozsky.pdf","Udret stav pøi vyhlášení.",NA
"CZ0314634",8310,0.01,0.33,"Zachovat stav pøedmìtu ochrany pøi zaøazení EVL do ES.","ChÃ½novskÃ¡ jeskynÄ› SDO 2013.pdf","Zachovat stav pøedmìtu ochrany pøi zaøazení EVL do ES.",NA
"CZ0523268",6410,2.9633,4.48,"Cílem je udret stav luk v druhovì bohatších èástech porostù odpovídající stavu pøi vyhlášení a na ostatních
místech tento stav oproti stavu pøi vyhlášení zlepšit.","Dubno.pdf","Cílem je udret stav luk v druhovì bohatších èástech porostù odpovídající stavu pøi vyhlášení a na ostatníchmístech tento stav oproti stavu pøi vyhlášení zlepšit.",NA
"CZ0523268",91,34.0109,51.48,"Cílem je udret a pøípadnì zlepšit stav pøi vyhlášení, udrovat pøírodì blízkou vìkovou a druhovou strukturu
lesního porostu, v pøípadì porostù s pozmìnìnou druhovou strukturou tuto strukturu zlepšovat (alespoò na
minimální podíl MZD) a zachovat tak podmínky pro udrení biotopu na lokalitì.","Dubno.pdf","Cílem je udret a pøípadnì zlepšit stav pøi vyhlášení, udrovat pøírodì blízkou vìkovou a druhovou strukturulesního porostu, v pøípadì porostù s pozmìnìnou druhovou strukturou tuto strukturu zlepšovat (alespoò naminimální podíl MZD) a zachovat tak podmínky pro udrení biotopu na lokalitì.",NA
"CZ0523268",9170,13.8942,21.03,"Cílem je udret a pøípadnì zlepšit stav pøi vyhlášení, udrovat pøírodì blízkou vìkovou a druhovou strukturu
lesního porostu, v pøípadì porostù s pozmìnìnou druhovou strukturou tuto strukturu zlepšovat (alespoò na
minimální podíl MZD) a zachovat tak podmínky pro udrení biotopu na lokalitì.
* oznaèuje prioritní stanovištì","Dubno.pdf","Cílem je udret a pøípadnì zlepšit stav pøi vyhlášení, udrovat pøírodì blízkou vìkovou a druhovou strukturulesního porostu, v pøípadì porostù s pozmìnìnou druhovou strukturou tuto strukturu zlepšovat (alespoò naminimální podíl MZD) a zachovat tak podmínky pro udrení biotopu na lokalitì.* oznaèuje prioritní stanovištì",NA
"CZ0424038",40,0.1947,0.19,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.","holy vrch u hline.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.",NA
"CZ0424038",6190,0.685,0.67,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.","holy vrch u hline.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.",NA
"CZ0424038",6210,9.3368,9.07,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.","holy vrch u hline.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.",NA
"CZ0424038",6510,44.0279,42.78,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.","holy vrch u hline.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.",NA
"CZ0424038",8220,0.5758,0.56,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.","holy vrch u hline.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.",NA
"CZ0424038",8230,0.1044,0.1,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.
* oznaèuje prioritní stanovištì","holy vrch u hline.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.* oznaèuje prioritní stanovištì",NA
"CZ0624066",6210,17.2574,32.42,"zlepšit stav oproti stavu pøi vyhlášení EVL","Jasenova.pdf","zlepšit stav oproti stavu pøi vyhlášení EVL",NA
"CZ0624066",9170,28.4791,53.5,"udret stav pøi vyhlášení EVL","Jasenova.pdf","udret stav pøi vyhlášení EVL",NA
"CZ0714075",4060,21.8631,0.86,"Zachování stavu jako pøi vyhlášení, pøípadnì za pomocí managementu pomístné zlepšení stavu oproti stavu pøi
vyhlášení (vıøez pøítomné kosodøeviny)","Keprnik.pdf","Zachování stavu jako pøi vyhlášení, pøípadnì za pomocí managementu pomístné zlepšení stavu oproti stavu pøivyhlášení (vıøez pøítomné kosodøeviny)",NA
"CZ0714075",6150,10.2614,0.4,"Aktivním managementem dojít ke zlepšení kvality pøípadnì zvìtšení rozlohy oproti stavu pøi vyhlášení.","Keprnik.pdf","Aktivním managementem dojít ke zlepšení kvality pøípadnì zvìtšení rozlohy oproti stavu pøi vyhlášení.",NA
"CZ0714075",6430,26.2633,1.03,"A4.1, A4.2 - Aktivním managementem dojít ke zlepšení kvality pøípadnì zvìtšení rozlohy oproti stavu pøi
vyhlášení.
A4.3, M5 - Zachování stavu jako pøi vyhlášení (odpovídá stávajícímu stavu).","Keprnik.pdf","A4.1, A4.2 - Aktivním managementem dojít ke zlepšení kvality pøípadnì zvìtšení rozlohy oproti stavu pøivyhlášení.A4.3, M5 - Zachování stavu jako pøi vyhlášení (odpovídá stávajícímu stavu).",NA
"CZ0714075",7110,3.8451,0.15,"Zachování stavu jako pøi vyhlášení (odpovídá stávajícímu stavu), bezzásahovost, pøirozenı vodní reim.","Keprnik.pdf","Zachování stavu jako pøi vyhlášení (odpovídá stávajícímu stavu), bezzásahovost, pøirozenı vodní reim.",NA
"CZ0714075",8220,25.5921,1.01,"Aktivním managementem dojít ke zlepšení kvality (omezení sešlapu a eutrofizace) oproti stavu pøi vyhlášení.","Keprnik.pdf","Aktivním managementem dojít ke zlepšení kvality (omezení sešlapu a eutrofizace) oproti stavu pøi vyhlášení.",NA
"CZ0714075",91,76.4676,3.01,"V porostech s pozmìnìnou druhovou skladbou aktivním managementem dojít ke zlepšení kvality oproti stavu
pøi vyhlášení (redukce nepùvodních døevin borovice kleèe Pinus mugo a olše zelené Alnus alnobetula).
V porostech s odpovídající druhovou skladbou zachovat stav jako pøi vyhlášení.","Keprnik.pdf","V porostech s pozmìnìnou druhovou skladbou aktivním managementem dojít ke zlepšení kvality oproti stavupøi vyhlášení (redukce nepùvodních døevin borovice kleèe Pinus mugo a olše zelené Alnus alnobetula).V porostech s odpovídající druhovou skladbou zachovat stav jako pøi vyhlášení.",NA
"CZ0714075",9110,326.2396,12.83,"V porostech s pozmìnìnou druhovou skladbou aktivním managementem zlepšení stavu oproti stavu pøi
vyhlášení. V porostech s odpovídající druhovou skladbou zachovat stav jako pøi vyhlášení, vyuití pøírodních
procesù vèetnì pøirozené obnovy.","Keprnik.pdf","V porostech s pozmìnìnou druhovou skladbou aktivním managementem zlepšení stavu oproti stavu pøivyhlášení. V porostech s odpovídající druhovou skladbou zachovat stav jako pøi vyhlášení, vyuití pøírodníchprocesù vèetnì pøirozené obnovy.",NA
"CZ0714075",9410,1416.0121,55.68,"V porostech s pozmìnìnou druhovou skladbou aktivním managementem dojít ke zlepšení kvality oproti stavu
pøi vyhlášení. V porostech s odpovídající druhovou skladbou zachovat stav jako pøi vyhlášení.
* oznaèuje prioritní stanovištì","Keprnik.pdf","V porostech s pozmìnìnou druhovou skladbou aktivním managementem dojít ke zlepšení kvality oproti stavupøi vyhlášení. V porostech s odpovídající druhovou skladbou zachovat stav jako pøi vyhlášení.* oznaèuje prioritní stanovištì",NA
"CZ0624128",40,0.6002,0.6,"Udret stav pøi vyhlášení.","Krumlovsko.pdf","Udret stav pøi vyhlášení.",NA
"CZ0624128",6110,1.1732,1.18,"Udret a na místech, kde je tøeba (degradace akátem aj. døevinami), zlepšit stav pøi vyhlášení aktivním
managementem.","Krumlovsko.pdf","Udret a na místech, kde je tøeba (degradace akátem aj. døevinami), zlepšit stav pøi vyhlášení aktivnímmanagementem.",NA
"CZ0624128",6190,11.611,11.69,"Udret a na místech, kde je tøeba (degradace akátem aj. døevinami), zlepšit stav pøi vyhlášení aktivním
managementem.","Krumlovsko.pdf","Udret a na místech, kde je tøeba (degradace akátem aj. døevinami), zlepšit stav pøi vyhlášení aktivnímmanagementem.",NA
"CZ0624128",6240,10.5661,10.64,"Udret a na místech, kde je tøeba (degradace akátem aj. døevinami), zlepšit stav pøi vyhlášení aktivním
managementem.","Krumlovsko.pdf","Udret a na místech, kde je tøeba (degradace akátem aj. døevinami), zlepšit stav pøi vyhlášení aktivnímmanagementem.",NA
"CZ0624128",8220,2.1112,2.13,"Udret stav pøi vyhlášení.
* oznaèuje prioritní stanovištì","Krumlovsko.pdf","Udret stav pøi vyhlášení.* oznaèuje prioritní stanovištì",NA
"CZ0414110",4030,204.4072,1.74,"Zachování rozlohy a charakteru vøesoviš jako v dobì vyhlášení EVL.","Krusnohorske plato.pdf","Zachování rozlohy a charakteru vøesoviš jako v dobì vyhlášení EVL.",NA
"CZ0414110",6230,282.5625,2.4,"Zachování rozlohy a charakteru smilkovıch luk s typickımi a vzácnımi druhy rostlin jako v dobì vyhlášení EVL.","Krusnohorske plato.pdf","Zachování rozlohy a charakteru smilkovıch luk s typickımi a vzácnımi druhy rostlin jako v dobì vyhlášení EVL.",NA
"CZ0414110",6520,851.7536,7.23,"Zachovat rozlohu luk jako v dobì vyhlášení EVL a zlepšit stav a strukturu oproti stavu pøi vyhlášení EVL.","Krusnohorske plato.pdf","Zachovat rozlohu luk jako v dobì vyhlášení EVL a zlepšit stav a strukturu oproti stavu pøi vyhlášení EVL.",NA
"CZ0414110",7110,99.3602,0.84,"Zlepšit stav, strukturu a zvıšit rozlohu stanovištì oproti stavu pøi vyhlášení EVL.","Krusnohorske plato.pdf","Zlepšit stav, strukturu a zvıšit rozlohu stanovištì oproti stavu pøi vyhlášení EVL.",NA
"CZ0414110",7140,593.9073,5.04,"Zlepšit stav, strukturu a zvıšit rozlohu stanovištì oproti stavu pøi vyhlášení EVL.","Krusnohorske plato.pdf","Zlepšit stav, strukturu a zvıšit rozlohu stanovištì oproti stavu pøi vyhlášení EVL.",NA
"CZ0414110",7220,0.006,0,"Z dùvodu absence pøedmìtu ochrany v EVL není definován jeho cílovı stav.","Krusnohorske plato.pdf","Z dùvodu absence pøedmìtu ochrany v EVL není definován jeho cílovı stav.",NA
"CZ0414110",8220,13.3798,0.11,"Udret kvalitu a rozlohu porostù ve stavu jako pøi vyhlášení.","Krusnohorske plato.pdf","Udret kvalitu a rozlohu porostù ve stavu jako pøi vyhlášení.",NA
"CZ0414110",91,894.7256,7.6,"Zachovat rozlohu, u porostù s døevinami pøirozené døevinné skladby zachovat stav stanovištì jako v dobì
vyhlášení, u porostù s pozmìnìnou druhovou skladbou a zjednodušenou vìkovou strukturou zlepšit stav a
strukturu stanovištì oproti stavu pøi vyhlášení EVL.","Krusnohorske plato.pdf","Zachovat rozlohu, u porostù s døevinami pøirozené døevinné skladby zachovat stav stanovištì jako v dobìvyhlášení, u porostù s pozmìnìnou druhovou skladbou a zjednodušenou vìkovou strukturou zlepšit stav astrukturu stanovištì oproti stavu pøi vyhlášení EVL.",NA
"CZ0414110",9140,3.3259,0.03,"Zachovat rozlohu a zlepšit stav a strukturu stanovištì oproti stavu pøi vyhlášení EVL.","Krusnohorske plato.pdf","Zachovat rozlohu a zlepšit stav a strukturu stanovištì oproti stavu pøi vyhlášení EVL.",NA
"CZ0414110",9410,5826.3169,49.46,"Zachovat rozlohu a zlepšit stav a strukturu stanovištì oproti stavu pøi vyhlášení EVL.
* oznaèuje prioritní stanovištì","Krusnohorske plato.pdf","Zachovat rozlohu a zlepšit stav a strukturu stanovištì oproti stavu pøi vyhlášení EVL.* oznaèuje prioritní stanovištì",NA
"CZ0624065",6240,4.3834,3.44,"Zlepšit stav PO oproti stavu pøi vyhlášení EVL vhodnım managementem.","Kvetnice.pdf","Zlepšit stav PO oproti stavu pøi vyhlášení EVL vhodnım managementem.",NA
"CZ0624065",8310,0.04,0.03,"Zachovat stav PO odpovídající stavu pøi vyhlášení EVL zajištìním ochrany pøed nièením, zamezení vstupu bez
odborného doprovodu a dohledu do budoucna.","Kvetnice.pdf","Zachovat stav PO odpovídající stavu pøi vyhlášení EVL zajištìním ochrany pøed nièením, zamezení vstupu bezodborného doprovodu a dohledu do budoucna.",NA
"CZ0624065",91,11.4161,8.95,"Zlepšit stav PO oproti stavu pøi vyhlášení EVL vhodnım managementem.","Kvetnice.pdf","Zlepšit stav PO oproti stavu pøi vyhlášení EVL vhodnım managementem.",NA
"CZ0624065",9150,16.9119,13.26,"Zachovat stav PO odpovídající stavu pøi vyhlášení EVL.","Kvetnice.pdf","Zachovat stav PO odpovídající stavu pøi vyhlášení EVL.",NA
"CZ0624065",9170,19.6765,15.43,"Zlepšit stav PO oproti stavu pøi vyhlášení EVL vhodnım managementem.","Kvetnice.pdf","Zlepšit stav PO oproti stavu pøi vyhlášení EVL vhodnım managementem.",NA
"CZ0624065",9180,3.1484,2.47,"Zlepšit stav PO oproti stavu pøi vyhlášení EVL vhodnım managementem.

* oznaèuje prioritní stanovištì","Kvetnice.pdf","Zlepšit stav PO oproti stavu pøi vyhlášení EVL vhodnım managementem.* oznaèuje prioritní stanovištì",NA
"CZ0624097",6210,4.5274,56.02,"Zachovat stav pøedmìtu ochrany odpovídající stavu pøi vyhlášení EVL.","Å Ã©vy SDO 2013.pdf","Zachovat stav pøedmìtu ochrany odpovídající stavu pøi vyhlášení EVL.",NA
"CZ0624097",6250,0.4672,5.78,"Zachovat stav pøedmìtu ochrany odpovídající stavu pøi vyhlášení EVL.","Å Ã©vy SDO 2013.pdf","Zachovat stav pøedmìtu ochrany odpovídající stavu pøi vyhlášení EVL.",NA
"CZ0424037",6210,3.8354,1.31,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.","lovoÅ¡.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.",NA
"CZ0424037",8220,3.9848,1.36,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.","lovoÅ¡.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.",NA
"CZ0424037",9110,23.4075,7.99,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.","lovoÅ¡.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.",NA
"CZ0424037",9170,131.0256,44.73,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.","lovoÅ¡.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.",NA
"CZ0424037",9180,39.9305,13.63,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.


* oznaèuje prioritní stanovištì","lovoÅ¡.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.* oznaèuje prioritní stanovištì",NA
"CZ0424037",6210,3.8354,1.31,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.","Lovos.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.",NA
"CZ0424037",8220,3.9848,1.36,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.","Lovos.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.",NA
"CZ0424037",9110,23.4075,7.99,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.","Lovos.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.",NA
"CZ0424037",9170,131.0256,44.73,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.","Lovos.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.",NA
"CZ0424037",9180,39.9305,13.63,"Zachovat stav stanovištì jako v dobì vyhlášení EVL.


* oznaèuje prioritní stanovištì","Lovos.pdf","Zachovat stav stanovištì jako v dobì vyhlášení EVL.* oznaèuje prioritní stanovištì",NA
"CZ0624001",3260,3.1061,1.34,"Vhodnım managementem udret kvalitu a rozlohu porostù ve stavu jako pøi vyhlášení.","Meandry Dyje.pdf","Vhodnım managementem udret kvalitu a rozlohu porostù ve stavu jako pøi vyhlášení.",NA
"CZ0624001",6430,1.8565,0.8,"Vhodnım managementem udret kvalitu a rozlohu porostù ve stavu jako pøi vyhlášení.","Meandry Dyje.pdf","Vhodnım managementem udret kvalitu a rozlohu porostù ve stavu jako pøi vyhlášení.",NA
"CZ0624103",3260,1.0153,0.18,"Hodnota udávána v kartì lokality EVL je chybná, tento pøedmìt ochrany se ve skuteènosti na území EVL
nenachází, viz kapitola 2.5 Vyuívání EVL a zhodnocení jeho dùsledkù pro pøedmìty ochrany, b) Hydrologické
pomìry.","Musovsky luh.pdf","Hodnota udávána v kartì lokality EVL je chybná, tento pøedmìt ochrany se ve skuteènosti na území EVLnenachází, viz kapitola 2.5 Vyuívání EVL a zhodnocení jeho dùsledkù pro pøedmìty ochrany, b) Hydrologicképomìry.",NA
"CZ0624103",91,13.9401,2.5,"Udret stav pøedmìtu ochrany na úrovni v dobì vyhlášení EVL zachováním vodního reimu nezbytného pro
existenci tìchto porostù.","Musovsky luh.pdf","Udret stav pøedmìtu ochrany na úrovni v dobì vyhlášení EVL zachováním vodního reimu nezbytného proexistenci tìchto porostù.",NA
"CZ0624103",91,352.937,63.31,"Udret stav pøedmìtu ochrany na úrovni v dobì vyhlášení EVL zachováním vodního reimu nezbytného pro
existenci tìchto porostù.
* oznaèuje prioritní stanovištì","Musovsky luh.pdf","Udret stav pøedmìtu ochrany na úrovni v dobì vyhlášení EVL zachováním vodního reimu nezbytného proexistenci tìchto porostù.* oznaèuje prioritní stanovištì",NA
"CZ0213065",40,0.1533,0.52,"Zachovat stav jako pøi vyhlášení.","Na BabÄ›.pdf","Zachovat stav jako pøi vyhlášení.",NA
"CZ0213065",6190,1.4407,4.93,"Zachovat stav jako pøi vyhlášení.","Na BabÄ›.pdf","Zachovat stav jako pøi vyhlášení.",NA
"CZ0213065",6210,0.8848,3.03,"Zlepšení kvality porostù (pøípadnì jejich rozšíøení) oproti stavu pøi vyhlášení.
* oznaèuje prioritní stanovištì","Na BabÄ›.pdf","Zlepšení kvality porostù (pøípadnì jejich rozšíøení) oproti stavu pøi vyhlášení.* oznaèuje prioritní stanovištì",NA
"CZ0420144",7110,10.8603,0.43,"Zlepšit stav, strukturu a zvıšit rozlohu stanovištì oproti stavu pøi vyhlášení EVL.","novodomske.pdf","Zlepšit stav, strukturu a zvıšit rozlohu stanovištì oproti stavu pøi vyhlášení EVL.",NA
"CZ0420144",7120,79.651,3.17,"Zachovat rozlohu a zlepšit druhovou strukturu oproti stavu pøi vyhlášení EVL.","novodomske.pdf","Zachovat rozlohu a zlepšit druhovou strukturu oproti stavu pøi vyhlášení EVL.",NA
"CZ0420144",7140,29.1162,1.16,"Zlepšit stav, strukturu a zvıšit rozlohu stanovištì oproti stavu pøi vyhlášení EVL.","novodomske.pdf","Zlepšit stav, strukturu a zvıšit rozlohu stanovištì oproti stavu pøi vyhlášení EVL.",NA
"CZ0420144",91,1109.7732,44.2,"Zachovat rozlohu a zlepšit stav a strukturu stanovištì oproti stavu pøi vyhlášení EVL.","novodomske.pdf","Zachovat rozlohu a zlepšit stav a strukturu stanovištì oproti stavu pøi vyhlášení EVL.",NA
"CZ0420144",9410,725.3736,28.89,"V rámci aktualizace mapování biotopù upøesnit rozlohu acidofilních smrèin (rozlišovat zachovalé porosty a
porosty vzniklé obnovou jinıch stanoviš s vyuitím vysokého zastoupení smrku). Zlepšit stav a strukturu
stanovištì oproti stavu pøi vyhlášení EVL v místech zachovalıch porostù acidofilních smrèin (degradované
porosty smrèin v místech, na kterıch se pùvodnì vyskytovalo jiné stanovištì obnovovat døevinami typickımi pro
pùvodní stanovištì).

* oznaèuje prioritní stanovištì","novodomske.pdf","V rámci aktualizace mapování biotopù upøesnit rozlohu acidofilních smrèin (rozlišovat zachovalé porosty aporosty vzniklé obnovou jinıch stanoviš s vyuitím vysokého zastoupení smrku). Zlepšit stav a strukturustanovištì oproti stavu pøi vyhlášení EVL v místech zachovalıch porostù acidofilních smrèin (degradovanéporosty smrèin v místech, na kterıch se pùvodnì vyskytovalo jiné stanovištì obnovovat døevinami typickımi propùvodní stanovištì).* oznaèuje prioritní stanovištì",NA
"CZ0624071",3150,2.9094,1,"Vhodnım managementem udret kvalitu a rozlohu porostù ve stavu jako pøi vyhlášení.","Ocov.pdf","Vhodnım managementem udret kvalitu a rozlohu porostù ve stavu jako pøi vyhlášení.",NA
"CZ0624071",6410,4.1408,1.42,"Zachovat rozlohu porostù ve stavu jako pøi vyhlášení, kvalitu porostù je však nezbytné ve srovnání se stavem
pøi vyhlášení vylepšit, a to pøedevším obnovou narušeného vodního reimu v lokalitì Oèovské louky.","Ocov.pdf","Zachovat rozlohu porostù ve stavu jako pøi vyhlášení, kvalitu porostù je však nezbytné ve srovnání se stavempøi vyhlášení vylepšit, a to pøedevším obnovou narušeného vodního reimu v lokalitì Oèovské louky.",NA
