"sitecode","nazev_cz","nazev_lat","feature_code","pop_typ","pop_min","pop_max","pop_jednotka","zachovalost","izolace","celkove","stav_text","source_file"
"CZ0314124","pøástevník kostivalovı *","Callimorpha quadripunctaria","1078","stálá","-","-","-","dobré zachování",NA,"vıznamná hodnota","Zachovat, pøípadnì zlepšit stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","vranka obecná","Cottus gobio","1163","stálá","-","-","-","dobré zachování",NA,"dobrá hodnota","Zachovat, pøípadnì zlepšit stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","hoøeèek èeskı *","Gentianella bohemica","4094","stálá","20","394","jedinci","prùmìrné nebo omezené zachování",NA,"vıznamná hodnota","Zachovat stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","mihule potoèní","Lampetra planeri","1096","stálá","-","-","-","dobré zachování",NA,"dobrá hodnota","Zachovat, pøípadnì zlepšit stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","rys ostrovid","Lynx lynx","1361","stálá","-","-","-","prùmìrné nebo omezené zachování",NA,"vıznamná hodnota","Zachovat, pøípadnì zlepšit poèetní stav populace z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","modrásek bahenní","Maculinea nausithous","1061","stálá","1","50","jedinci","dobré zachování",NA,"dobrá hodnota","Zachovat, pøípadnì zlepšit stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","modrásek oèkovanı","Maculinea teleius","1059","stálá","50","100","jedinci","dobré zachování",NA,"dobrá hodnota","Zachovat, pøípadnì zlepšit stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","netopır velkı","Myotis myotis","1324","rozmnoující se","300","400","jedinci","dobré zachování",NA,"dobrá hodnota","Zachovat stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","vrkoè útlı","Vertigo angustior","1014","stálá","-","-","-","dobré zachování",NA,"vıznamná hodnota","Zachovat, pøípadnì zlepšit stav z doby vyhlášení EVL.
* oznaèuje prioritní druh","sdo_2632_2017_0000.pdf"
"CZ0622175","hvozdík moravskı *","Dianthus moravicus","4076","stálá","45","50","jedinci","dobré zachování","populace na okraji areálu","vynikající hodnota","Udret stav pøi vyhlášení, tzn. udret stálou populaci nìkolika desítek jedincù.","SDO_3124_2019_0000.pdf"
"CZ0622175","koniklec velkokvìtı","Pulsatilla grandis","2093","stálá","50","60","jedinci","dobré zachování",NA,"vıznamná hodnota","Udret stav pøi vyhlášení, tj. udret stálou populaci nìkolika desítek kvetoucích trsù.

* oznaèuje prioritní druh","SDO_3124_2019_0000.pdf"
"CZ0724089","omìj tuhı moravskı Aconitum firmum","subsp. moravicum","4109","stálá","600","600","jedinci","vynikající zachování","populace na okraji areálu","vynikající hodnota","Na lokalitì se v souèasnosti vyskytuje cca 30–35 000 prıtù. Cílem je toto mnoství udret.","SDO_3313_2021_0000.pdf"
"CZ0724089","kuòka lutobøichá","Bombina variegata","1193","stálá","-","-","-","dobré zachování",NA,"vynikající hodnota","Cílem je zachovat stav populace pøedmìtu ochrany na úrovni z doby vyhlášení EVL prostøednictvím zachování
vhodnıch biotopù jeho vıskytu. Tzn. v rámci celé EVL, zejména pak na lokalitách, kde byl vıskyt ovìøen (viz
kap. 1.4 Biota a pøíloha 6.5 - Rámcová smìrnice è. 14 péèe o druh) je cílem zachovat drobné nevysychající
tùnì, vyjeté koleje, zavodnìné pøíkopy u lesních cest, kalue, kalištì udrovaná aktivitou zvìøe, prameništì
se stojatou vodou, zvodnìlé prohlubnì po vıvratech stromù a na vhodnıch místech vytváøet tùòky
vyhovujících parametrù.","SDO_3313_2021_0000.pdf"
"CZ0724089","šikoušek zelenı","Buxbaumia viridis","1386","stálá","-","-","-","dobré zachování",NA,"vynikající hodnota","Zachování stavu pøedmìtu ochrany na úrovni z doby vyhlášení EVL. Jedná se o stabilizovanou populaci
vyskytující se roztroušenì na více místech v rámci EVL.","SDO_3313_2021_0000.pdf"
"CZ0724089","vlk obecnı *","Canis lupus","1352","stálá","-","-","-","dobré zachování","populace na okraji areálu","vynikající hodnota","Cílem je zlepšit poèetní stav druhu v EVL oproti stavu pøi vyhlášení – tj. vytvoøit podmínky pro trvalou existenci
populace vlka obecného v EVL Beskydy.","SDO_3313_2021_0000.pdf"
"CZ0724089","støevlík hrbolatı","Carabus variolosus","4014","stálá","-","-","-","vynikající zachování",NA,"vynikající hodnota","Cílem je zachovat stav populace pøedmìtu ochrany na úrovni z doby vyhlášení EVL prostøednictvím zachování
vhodnıch biotopù jeho vıskytu roztroušenì v rámci celé EVL(podmáèené zrašelinìlé úseky, drobné vodní
toky a jejich okolí, prameništì, moèály, rašeliništì a zvodnìlé úseky v pøíkopech podél lesních cest). V tìchto
biotopech je cílem zachovat stávající vodní reim a zajistit dostatek úkrytù k pøezimování (zajistit dostateèné
mnoství mrtvého døeva).","SDO_3313_2021_0000.pdf"
"CZ0724089","lesák rumìlkovı","Cucujus cinnaberinus","1086","stálá","-","-","-","vynikající zachování",NA,"vynikající hodnota","Zachování stavu pøedmìtu ochrany na úrovni z doby vyhlášení EVL prostøednictvím zachování stavu jeho
biotopu. Na lokalitách jeho vıskytu (zejména v MZCHÚ - viz pøíloha 6.5 - Rámcová smìrnice è. 17 péèe o
druh, a na Jablunkovsku) je cílem zachovat kontinuální vıskyt dostateèného mnoství padlıch i èásteènì
ivıch stojících stromù ve vhodném stádiu rozpadu - døevo s èervenou hnilobou.","SDO_3313_2021_0000.pdf"
"CZ0724089","vydra øíèní","Lutra lutra","1355","stálá","-","-","-","prùmìrné nebo omezené zachování","populace na okraji areálu","vynikající hodnota","Zachování stavu pøedmìtu ochrany na úrovni z doby vyhlášení EVL, tj. zachování populace o velikosti min. 15
jedincù.","SDO_3313_2021_0000.pdf"
"CZ0724089","rys ostrovid","Lynx lynx","1361","stálá","-","-","-","dobré zachování","populace na okraji areálu","vynikající hodnota","Cílem je zachovat poèetní stav druhu z doby vyhlášení EVL – tj. zajistit podmínky pro trvalou existenci cca 10
jedincù rysa ostrovida v EVL Beskydy.","SDO_3313_2021_0000.pdf"
"CZ0724089","netopır velkı","Myotis myotis","1324","stálá","-","-","-","dobré zachování",NA,"dobrá hodnota","Zachovat stav pøedmìtu ochrany jako pøi vyhlášení EVL - letní kolonie v celkové poèetnosti tisíce jedincù a
zimní kolonie v celkové poèetnosti tisíce jedincù.","SDO_3313_2021_0000.pdf"
"CZ0724089","rıhovec pralesní","Rhysodes sulcatus","4026","stálá","-","-","-","vynikající zachování",NA,"vynikající hodnota","Zachování stavu pøedmìtu ochrany na úrovni z doby vyhlášení EVL prostøednictvím zachování stavu jeho
biotopu. Tzn.na lokalitách jeho vıskytu (NPR Mionší a navazující lesní porosty) je cílem zachování pøirozenıch
druhovì bohatıch lesù pralesovitého charakteru s vysokım podílem mrtvého døeva v rùzném stupni rozkladu.","SDO_3313_2021_0000.pdf"
"CZ0724089","èolek karpatskı","Triturus montandoni","2001","stálá","-","-","-","dobré zachování","populace na okraji areálu","vynikající hodnota","Zachování stavu pøedmìtu ochrany na úrovni z doby vyhlášení EVL prostøednictvím zachování vhodnıch
biotopù jeho vıskytu. Tzn. v rámci celé EVL je cílem zachovat drobné nevysychající tùnì, vyjeté koleje
v lesních cestách, zavodnìné pøíkopy u lesních cest, kalue, prameništì se stojatou vodou, zvodnìlé
prohlubnì po vıvratech stromù.","SDO_3313_2021_0000.pdf"
"CZ0724089","velevrub tupı","Unio crassus","1032","stálá","-","-","-","dobré zachování",NA,"dobrá hodnota","Zachování stavu druhu na stávající lokalitì v náhonu Obecnice v poèetnosti asi 1500–2500 jedincù.","SDO_3313_2021_0000.pdf"
"CZ0724089","medvìd hnìdı *","Ursus arctos","1354","stálá","-","-","-","dobré zachování","populace na okraji areálu","vynikající hodnota","Cílem je zlepšit poèetní stav druhu v EVL – tj. vytvoøit podmínky pro trvalı vıskyt medvìda hnìdého v EVL
Beskydy (klidové oblasti s pestrou škálou habitatù zajišující dostatek úkrytù, potravy apod.).


* oznaèuje prioritní druh","SDO_3313_2021_0000.pdf"
